@relation 0_gimp(master)

@attribute author_date_unix_timestamp numeric
@attribute fix_unix_timestamp numeric
@attribute fix numeric
@attribute ns numeric
@attribute nd numeric
@attribute nf numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute ndev numeric
@attribute age numeric
@attribute nuc numeric
@attribute exp numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute contains_bug {0,1}

@data

852137264,-1,1,4,4,4,0.731481,14994,0,0,0,0,0,0,0,0,0
852287313,-1,0,2,2,2,0.987036,127,0,0,0,0,0,1,1,0,0
880409125,-1,0,10,190,1598,9.464596,820761,0,0,0,0,0,0,0,0,1
880409125,-1,0,1,7,26,4.70044,52,52,743.692308,1,0.000012,1,1,0,0,1
880572617,880409125,1,1,5,15,3.771658,49,26,1451.8,1,1.892269,1,0,0,0,0
880573017,-1,0,1,1,1,0,15,0,768,1,1.896898,1,1,1,0,0
880667882,-1,0,5,143,157,1.704125,4984,13700,128.802548,1,0.286134,1,2,2,0.2,0
880668112,-1,0,1,3,3,1.485475,10,0,0,0,0,0,3,3,2,0
880752857,-1,0,1,2,2,1,2,0,186,1,3.97838,1,2,2,0,0
880775249,-1,0,1,3,3,1.584963,3,0,3.333333,1,0.827562,2,4,4,3,0
881005748,880409125,1,2,5,16,1.371164,7114,854,258.9375,1,6.531,2,0,0,0,1
881439286,-1,0,1,1,121,6.597075,0,99307,820.719008,1,11.92316,1,0,0,0,0
881439501,-1,0,1,1,13,1.813116,0,3545,272.692308,1,11.925648,1,1,1,0,0
881445182,880409125,1,1,4,10,3.083383,41,15,1428.4,1,11.9914,1,2,2,0,1
881445201,-1,0,1,1,1,0,10,0,783,2,10.094722,1,3,3,0,0
881540565,880409125,1,1,4,8,2.157162,33,33,975.5,1,13.09537,1,4,4,1,1
881540672,-1,0,1,4,9,0.883035,392,391,1499.888889,2,12.676105,2,5,5,1,1
881540731,-1,1,1,1,1,0,1,0,27,1,13.097292,1,6,6,0,0
881540751,-1,0,1,1,1,0,21,0,793,3,1.105903,1,7,7,1,0
881543590,880409125,1,2,7,21,3.306542,1514,29,933.666667,3,12.50669,2,0,0,0,1
881550417,-1,0,1,1,1,0,1,1,91,2,0.114028,1,1,1,0,0
881564285,881540672,1,2,2,2,0.0326,296,296,558.5,4,0.256412,2,2,2,0,0
881577379,880409125,1,2,7,10,2.560992,229,175,818.7,4,11.806014,3,3,3,1,1
881599854,880409125,1,3,7,8,2.656041,32,17,1036.375,4,7.020856,2,8,8,2,0
881617059,-1,0,2,7,10,1.529047,5839,1580,1458.8,4,12.303072,3,9,9,3,1
881620799,-1,0,1,1,1,0,1,0,1169,1,14.024005,1,1,0.5,0,0
881622345,-1,0,1,1,1,0,3,1,44,1,14.041898,1,4,4,1,0
881630979,880409125,1,1,5,8,2.84125,20,16,654.25,1,14.141829,1,2,1.5,0,0
881631548,-1,0,1,3,4,2,4,0,413,1,14.148414,1,3,2.5,1,0
881646844,-1,0,3,6,6,1.841572,34,22,1413,4,5.104539,3,5,5,2,0
881647053,-1,0,2,10,26,3.931455,4462,170,219.615385,5,6.347366,3,10,10,4,1
881647642,-1,0,1,1,3,0.863798,59,255,85,1,3.779938,1,11,11,5,0
881647711,-1,0,1,1,1,0,7,0,0,0,0,0,12,12,6,0
881653462,-1,0,1,1,1,0,4,0,422,2,7.49669,1,6,6,3,0
881705350,880409125,1,1,3,5,2.209838,694,188,2255.4,1,15.002604,1,0,0,0,1
881706510,-1,0,1,1,1,0,1,0,1863,2,0.013426,1,1,1,0,0
881709462,-1,0,1,1,1,0,7,0,859,4,0.722326,1,2,2,0,0
881709744,-1,0,3,12,16,2.704948,319,18,1059.375,5,2.863642,4,7,7,3.333333,1
881801828,881577379,1,4,9,17,1.323866,1885,3,488.176471,6,6.339674,6,8,8,3.25,1
881825403,-1,0,1,2,2,1,30,24,592,1,16.392106,1,9,9,5,1
881875437,-1,0,1,1,3,0.997168,2,6790,2264,1,13.976331,1,10,10,0,0
881886493,-1,0,1,1,1,0,6979,0,0,2,0.127963,1,11,11,1,0
881893755,-1,1,1,1,1,0,3,3,427,3,1.06397,1,4,3.5,0,0
881902774,-1,0,2,4,14,2.326807,4,1160,187.928571,6,13.4548,4,12,12,6,0
881914759,-1,0,1,3,5,0.892471,0,181,67.6,1,10.455796,2,13,13,7,0
881915146,-1,0,1,1,1,0,0,0,71,1,0.000012,1,14,14,8,0
881915203,-1,0,1,1,1,0,0,0,0,1,17.431458,1,15,15,5,0
881920881,-1,0,2,4,5,2.103487,86,22,1823.8,5,8.801507,3,16,16,8,1
882063849,-1,0,2,2,2,0.721928,5,0,467.5,5,3.382361,2,0,0,0,0
882079544,-1,0,2,2,6,1.670793,7,464,311.5,7,11.058736,4,1,1,0,0
882080772,-1,0,1,1,2,0.970951,4,1,662.5,7,0.014213,1,2,2,1,0
882084774,-1,0,4,7,12,2.797665,126,25,1129.25,6,8.73414,4,17,17,6.25,1
882086077,-1,0,1,1,1,0,3,0,1434,1,19.409167,1,3,3,1,0
882086716,-1,0,1,1,1,0,4,0,908,6,0.022477,1,4,4,1,0
882099413,-1,0,2,5,14,2.511223,833,120,1062.142857,6,12.800619,4,18,18,8,1
882100336,-1,0,1,13,13,3.140472,0,2813,216.384615,2,16.899215,3,19,19,11,0
882100725,-1,0,1,1,1,0,0,136,136,1,16.583831,1,20,20,10,0
882131141,-1,0,1,1,1,0,1,0,9,1,16.935868,1,21,21,11,0
882145275,-1,1,1,3,4,2,24,0,1922,1,20.094329,1,0,0,0,1
882146982,881709744,1,2,7,8,2.21777,19,288,919.625,6,4.496868,2,22,22,10,1
882150917,-1,1,1,1,1,0,5,0,924,6,0.045544,1,1,1,0,0
882155893,-1,1,2,3,3,1.572624,21,1,669.666667,7,13.497346,2,2,2,0.5,0
882157495,-1,0,3,5,9,1.47848,108,491,1022.222222,8,11.686138,6,23,22,9,1
882160423,-1,0,1,1,2,0.146094,143,1,14,2,3.586181,1,0,0,0,0
882160996,-1,0,1,1,1,0,0,0,141,1,0.000012,1,0,0,0,0
882170006,-1,0,2,2,2,0.863121,4,3,88.5,4,0.144803,1,24,22.5,13.5,0
882191333,-1,0,1,1,1,0,3,0,0,0,0,0,1,1,0,0
882226858,-1,0,1,1,1,0,15,3,141,2,0.762292,1,2,2,1,0
882230575,-1,0,2,2,3,0.802063,62,18,412.666667,7,9.742481,3,13,8,6,1
882251138,-1,0,1,1,1,0,91,4,153,2,0.281019,1,3,3,2,0
