instance class;predicted class;recall(0);recall(1);timestamp 
0;0;100.0;0.0;1302724246
0;0;100.0;0.0;1302724463
0;0;100.0;0.0;1302774320
0;0;100.0;0.0;1302776034
0;0;100.0;0.0;1302776400
0;0;100.0;0.0;1302777029
1;0;100.0;0.0;1302777405
0;0;100.0;0.0;1302777535
0;0;100.0;0.0;1302777583
0;0;100.0;0.0;1302781364
0;0;100.0;0.0;1302781432
0;0;100.0;0.0;1302787451
1;0;100.0;0.0;1302788420
0;0;100.0;0.0;1302788429
0;0;100.0;0.0;1302790944
0;0;100.0;0.0;1302792879
1;0;100.0;0.0;1302797071
0;0;100.0;0.0;1302797110
0;0;100.0;0.0;1302797206
1;0;100.0;0.0;1302809223
0;0;100.0;0.0;1302813492
0;0;100.0;0.0;1302814354
0;0;100.0;0.0;1302850792
0;0;100.0;0.0;1302850801
0;0;100.0;0.0;1302855282
0;0;100.0;0.0;1302855952
0;0;100.0;0.0;1302858547
0;0;100.0;0.0;1302858788
0;0;100.0;0.0;1302859285
0;0;100.0;0.0;1302863021
0;0;100.0;0.0;1302863407
0;0;100.0;0.0;1302863908
0;0;100.0;0.0;1302863993
0;0;100.0;0.0;1302871475
0;0;100.0;0.0;1302877015
0;0;100.0;0.0;1302877959
0;0;100.0;0.0;1302878413
0;0;100.0;0.0;1302879600
0;0;100.0;0.0;1302879616
0;0;100.0;0.0;1302894310
0;0;100.0;0.0;1302986317
1;0;100.0;0.0;1302986362
0;0;100.0;0.0;1302986419
0;0;100.0;0.0;1302987005
0;0;100.0;0.0;1302988021
0;0;100.0;0.0;1303137419
0;0;100.0;0.0;1303148952
1;0;100.0;0.0;1303149001
1;0;100.0;0.0;1303226769
0;0;100.0;0.0;1303226804
1;0;100.0;0.0;1303283675
0;0;100.0;0.0;1303290205
0;0;100.0;0.0;1303290205
0;0;100.0;0.0;1303291734
0;0;100.0;0.0;1303292915
0;0;100.0;0.0;1303307758
1;0;100.0;0.0;1303310313
0;0;100.0;0.0;1303310489
0;0;100.0;0.0;1303321121
1;0;100.0;0.0;1303321174
1;0;100.0;0.0;1303321233
0;0;100.0;0.0;1303322378
0;0;100.0;0.0;1303331893
0;0;100.0;0.0;1303332987
0;0;100.0;0.0;1303333974
0;0;100.0;0.0;1303334638
0;0;100.0;0.0;1303334658
1;0;100.0;0.0;1303383643
0;0;100.0;0.0;1303392764
1;0;100.0;0.0;1303395579
0;0;100.0;0.0;1303398895
0;0;100.0;0.0;1303398970
1;0;100.0;0.0;1303399132
0;0;100.0;0.0;1303400602
0;0;100.0;0.0;1303401545
1;0;100.0;0.0;1303403664
0;0;100.0;0.0;1303404586
0;0;100.0;0.0;1303404689
0;0;100.0;0.0;1303408527
0;0;100.0;0.0;1303409873
0;0;100.0;0.0;1303410261
1;0;100.0;0.0;1303411798
0;0;100.0;0.0;1303411811
0;0;100.0;0.0;1303413583
0;0;100.0;0.0;1303420303
0;0;100.0;0.0;1303452034
0;0;100.0;0.0;1303478625
0;0;100.0;0.0;1303482630
1;0;100.0;0.0;1303483542
0;0;100.0;0.0;1303484378
1;0;100.0;0.0;1303486859
0;0;100.0;0.0;1303488985
0;0;100.0;0.0;1303489648
1;0;100.0;0.0;1303491751
0;0;100.0;0.0;1303492372
0;0;100.0;0.0;1303492965
0;0;100.0;0.0;1303493389
1;0;100.0;0.0;1303493699
1;0;100.0;0.0;1303494093
1;0;100.0;0.0;1303495513
0;0;100.0;0.0;1303496879
0;0;100.0;0.0;1303717350
0;0;100.0;0.0;1303740216
1;0;100.0;0.0;1303740671
0;0;100.0;0.0;1303740693
0;0;100.0;0.0;1303740905
1;0;100.0;0.0;1303745476
1;0;100.0;0.0;1303747602
0;0;100.0;0.0;1303747637
0;0;100.0;0.0;1303802920
0;0;100.0;0.0;1303802979
1;0;100.0;0.0;1303803951
0;0;100.0;0.0;1303806752
0;0;100.0;0.0;1303809004
1;0;100.0;0.0;1303809254
1;0;100.0;0.0;1303810721
0;0;100.0;0.0;1303814449
1;0;100.0;0.0;1303826027
1;0;100.0;0.0;1303828013
0;0;100.0;0.0;1303828028
0;0;100.0;0.0;1303845985
0;0;100.0;0.0;1303872194
0;0;100.0;0.0;1303886789
1;0;100.0;0.0;1303911113
0;0;100.0;0.0;1303913645
0;0;100.0;0.0;1303915836
1;0;100.0;0.0;1303915872
0;0;100.0;0.0;1303915884
0;0;100.0;0.0;1303917448
0;0;100.0;0.0;1303917459
1;0;100.0;0.0;1303987356
0;0;100.0;0.0;1303991093
0;0;100.0;0.0;1303992622
0;0;100.0;0.0;1303992633
0;0;100.0;0.0;1303996453
1;0;100.0;0.0;1304335164
1;0;100.0;0.0;1304422087
1;0;100.0;0.0;1304436341
0;0;100.0;0.0;1304439645
0;0;100.0;0.0;1304439769
0;0;100.0;0.0;1304440208
0;0;100.0;0.0;1304440611
0;0;100.0;0.0;1304442165
0;0;100.0;0.0;1304442467
0;0;100.0;0.0;1304448261
0;0;100.0;0.0;1304448292
0;0;100.0;0.0;1304448312
0;0;100.0;0.0;1304448455
0;0;100.0;0.0;1304449578
0;0;100.0;0.0;1304512214
0;0;100.0;0.0;1304517982
0;0;100.0;0.0;1304518550
0;0;100.0;0.0;1304520139
1;0;100.0;0.0;1304520270
0;0;100.0;0.0;1304520989
0;0;100.0;0.0;1304521495
0;0;100.0;0.0;1304521611
0;0;100.0;0.0;1304525454
1;0;100.0;0.0;1304525535
0;0;100.0;0.0;1304526180
0;0;100.0;0.0;1304543411
0;0;100.0;0.0;1304543473
0;0;100.0;0.0;1304543927
0;0;100.0;0.0;1304547061
1;0;100.0;0.0;1304547146
0;0;100.0;0.0;1304547154
0;0;100.0;0.0;1304547561
1;0;100.0;0.0;1304551081
0;0;100.0;0.0;1304551097
1;0;100.0;0.0;1304553258
0;0;100.0;0.0;1304553550
1;0;100.0;0.0;1304557701
0;0;100.0;0.0;1304584630
0;0;100.0;0.0;1304586218
0;0;100.0;0.0;1304588112
0;0;100.0;0.0;1304589210
0;0;100.0;0.0;1304598017
0;0;100.0;0.0;1304598036
0;0;100.0;0.0;1304600814
0;0;100.0;0.0;1304602214
0;0;100.0;0.0;1304604117
1;0;100.0;0.0;1304612351
0;0;100.0;0.0;1304612362
0;0;100.0;0.0;1304612527
