instance class;predicted class;recall(0);recall(1);timestamp 
1;0;0.0;0.0;1293840523
1;0;0.0;0.0;1293853015
1;0;0.0;0.0;1293857524
1;0;0.0;0.0;1294097284
1;0;0.0;0.0;1294112356
0;0;100.0;0.0;1294112468
0;0;100.0;0.0;1294112677
1;0;100.0;0.0;1294112863
1;0;100.0;0.0;1294188041
0;0;100.0;0.0;1294188502
1;0;100.0;0.0;1294188634
1;0;100.0;0.0;1294192125
1;0;100.0;0.0;1294200534
0;0;100.0;0.0;1294201845
0;0;100.0;0.0;1294441271
0;0;100.0;0.0;1294447449
1;0;100.0;0.0;1294447588
1;0;100.0;0.0;1294468840
0;0;100.0;0.0;1294469171
0;0;100.0;0.0;1294883067
1;0;100.0;0.0;1298425344
1;0;100.0;0.0;1299733974
1;0;100.0;0.0;1299888878
1;0;100.0;0.0;1300415911
1;0;100.0;0.0;1301454910
0;1;88.43700077872938;0.0;1305149375
0;1;79.18800266599344;0.0;1305150062
1;1;79.18800266599344;6.042798535773048;1305287658
1;1;79.18800266599344;11.447875774266535;1305321817
1;1;79.18800266599344;16.310890490877007;1305326948
1;1;79.18800266599344;20.70928077151154;1305491483
1;1;79.18800266599344;24.706405078340875;1305850908
1;1;79.18800266599344;28.354603037528015;1305878739
0;1;71.62191420596139;28.354603037528015;1305899488
0;1;65.31800773788858;28.354603037528015;1305899582
0;0;68.14967674030189;28.354603037528015;1305901812
0;0;70.5762906207138;28.354603037528015;1305933768
1;0;70.5762906207138;27.031611386358023;1306183860
1;1;70.5762906207138;30.315832966628225;1306255516
1;1;70.5762906207138;33.34614781753185;1306325472
1;1;70.5762906207138;36.15076842907152;1306432428
1;0;70.5762906207138;34.676915551813934;1306453931
1;1;70.5762906207138;37.260613117772515;1306515126
1;0;70.5762906207138;35.82916223162304;1306615929
1;1;70.5762906207138;38.22630999121684;1306714126
1;1;70.5762906207138;40.47246537883001;1306862100
1;1;70.5762906207138;42.58135569449601;1306864123
1;1;70.5762906207138;44.56509328342812;1306951215
1;1;70.5762906207138;46.43440624380087;1307079037
1;1;70.5762906207138;48.19883068323335;1307121943
1;1;70.5762906207138;49.86687179854394;1307121996
0;0;72.67886053861527;49.86687179854394;1307124174
1;1;72.67886053861527;51.44613952185833;1307159726
1;1;72.67886053861527;52.94346329808421;1307159792
1;0;72.67886053861527;51.34409935652672;1307159989
1;1;72.67886053861527;52.78482524463875;1307218652
0;0;74.51814487296001;52.78482524463875;1307219009
1;0;74.51814487296001;51.25190122289928;1307234736
0;0;76.14060592231336;51.25190122289928;1307236777
1;1;76.14060592231336;52.64114214398206;1307238404
0;0;77.58238103828413;52.64114214398206;1307249907
0;0;78.87199971681962;52.64114214398206;1307250050
1;0;78.87199971681962;51.16820283058945;1307335929
1;1;78.87199971681962;52.51041968282814;1307338684
0;0;80.03228556211161;52.51041968282814;1307338906
0;0;81.0817148322429;52.51041968282814;1307338966
0;0;82.03540447238429;52.51041968282814;1307339684
1;0;82.03540447238429;51.09189532230482;1307377325
1;0;82.03540447238429;49.73478133296842;1307381683
1;0;82.03540447238429;48.43523860743156;1307386152
0;0;82.90584240020087;48.43523860743156;1307395063
0;0;83.70343521990588;48.43523860743156;1307403347
0;0;84.43692448494156;48.43523860743156;1307404233
1;1;84.43692448494156;49.76121051039347;1307425737
1;0;84.43692448494156;48.501413678837565;1307426825
1;0;84.43692448494156;47.29203479620021;1307426993
0;0;85.11370690004068;47.29203479620021;1307467076
1;1;85.11370690004068;48.586964040676975;1307467516
1;1;85.11370690004068;49.831942617716734;1307491013
0;0;85.7400833672743;49.831942617716734;1307491094
1;1;85.7400833672743;51.02974668771867;1307523171
1;1;85.7400833672743;52.1829505280918;1307528507
1;0;85.7400833672743;50.97051799276803;1307595570
0;1;82.24449325789396;50.97051799276803;1307630539
1;1;82.24449325789396;52.09480291737177;1307717591
0;0;82.9467696421074;52.09480291737177;1308243809
1;0;82.9467696421074;50.91547736722903;1308333979
1;1;82.9467696421074;52.012788110892075;1308640454
0;0;83.60190812923747;52.012788110892075;1308676387
0;0;84.21447063514546;52.012788110892075;1308677224
0;0;84.788448842116;52.012788110892075;1308677854
1;0;84.788448842116;50.864205775810674;1308703205
1;1;84.788448842116;51.936302529540555;1308832439
0;0;85.32735059787106;51.936302529540555;1308920735
1;0;85.32735059787106;50.81633824517068;1308923537
1;0;85.32735059787106;49.73305240620993;1308925316
1;0;85.32735059787106;48.68472432476703;1308939603
0;0;85.83427106769894;48.68472432476703;1308940908
1;1;85.83427106769894;49.7545515271559;1308992695
1;1;85.83427106769894;50.79083312920136;1309180192
0;0;86.31195168907466;50.79083312920136;1309192038
0;0;86.76282930051035;50.79083312920136;1309192208
1;1;86.76282930051035;51.7950726282397;1309216023
1;1;86.76282930051035;52.76868510019427;1309216138
0;0;87.18907730356435;52.76868510019427;1309216269
0;0;87.59264032558556;52.76868510019427;1309217668
0;1;84.89142271507349;52.76868510019427;1309253348
0;1;82.32694596987885;52.76868510019427;1309253868
0;0;82.85025406050019;52.76868510019427;1309254100
0;0;83.34829980367633;52.76868510019427;1309254150
0;0;83.82284596852494;52.76868510019427;1309254191
1;1;83.82284596852494;53.71300360682595;1309280667
0;0;84.2754950787322;53.71300360682595;1309342692
1;1;84.2754950787322;54.62928505378984;1309362015
0;0;84.7077072175813;54.62928505378984;1309362535
1;1;84.7077072175813;55.51871555364354;1309453981
1;1;84.7077072175813;56.3824153419371;1309519231
1;1;84.7077072175813;57.22144328923975;1309776196
1;0;84.7077072175813;56.13080463047895;1309801845
1;0;84.7077072175813;55.070559290266964;1309824498
1;0;84.7077072175813;54.03950560917594;1309857853
0;0;85.12081551058567;54.03950560917594;1309861632
1;0;85.12081551058567;53.03650432959128;1309884630
1;0;85.12081551058567;52.060474595723385;1309886846
1;1;85.12081551058567;52.93535314084089;1309951398
1;0;85.12081551058567;51.97720694430169;1309952473
1;0;85.12081551058567;51.04396305201697;1309959954
1;0;85.12081551058567;50.13470843120881;1310023700
1;1;85.12081551058567;51.01608087069066;1310040314
1;1;85.12081551058567;51.875280575507475;1310142844
